attendance,away_final_score,away_team,date,elapsed_time,g_id,home_final_score,home_team,start_time,umpire_HP,venue_name,weather,wind,delay_min
35055,3,sln,4/5/2015,184,201500001,0,chn,7:17 PM,Mike Winters,Wrigley Field,"44 degrees, clear","7 mph, In from CF",0
45909,1,ana,4/6/2015,153,201500002,4,sea,1:12 PM,Larry Vanover,Safeco Field,"54 degrees, cloudy","1 mph, Varies",0
36969,2,atl,4/6/2015,156,201500003,1,mia,4:22 PM,Jeff Nelson,Marlins Park,"80 degrees, partly cloudy","16 mph, In from CF",16
31042,6,bal,4/6/2015,181,201500004,2,tba,3:12 PM,Dana DeMuth,Tropicana Field,"72 degrees, dome","0 mph, None",0
45549,8,bos,4/6/2015,181,201500005,0,phi,3:08 PM,Gerry Davis,Citizens Bank Park,"71 degrees, partly cloudy","11 mph, Out to RF",0
40085,1,cha,4/6/2015,170,201500006,10,kca,3:14 PM,Jerry Layne,Kauffman Stadium,"59 degrees, drizzle","6 mph, R to L",0
43753,0,cle,4/6/2015,150,201500007,2,hou,6:10 PM,Ted Barrett,Minute Maid Park,"79 degrees, partly cloudy","14 mph, Out to LF",0
46032,10,col,4/6/2015,180,201500008,0,mil,1:20 PM,Dale Scott,Miller Park,"70 degrees, roof closed","0 mph, None",0
45030,0,min,4/6/2015,150,201500009,4,det,1:08 PM,Joe West,Comerica Park,"52 degrees, partly cloudy","5 mph, R to L",0
42295,3,nyn,4/6/2015,155,201500010,1,was,4:09 PM,Tim Welke,Nationals Park,"76 degrees, sunny","14 mph, Out to CF",0
43633,2,pit,4/6/2015,150,201500011,5,cin,4:10 PM,John Hirschbeck,Great American Ball Park,"68 degrees, overcast","15 mph, Out to LF",35
53518,3,sdn,4/6/2015,184,201500012,6,lan,1:12 PM,Brian Gorman,Dodger Stadium,"65 degrees, partly cloudy","1 mph, Varies",0
49043,5,sfn,4/6/2015,198,201500013,4,ari,7:13 PM,Gary Cederstrom,Chase Field,"81 degrees, clear","7 mph, L to R",0
36067,0,tex,4/6/2015,165,201500014,8,oak,7:09 PM,Bill Miller,O.co Coliseum,"56 degrees, cloudy","17 mph, Out to RF",0
48469,6,tor,4/6/2015,179,201500015,1,nya,1:13 PM,Fieldin Culbreth,Yankee Stadium,"54 degrees, partly cloudy","5 mph, R to L",0
26545,2,ana,4/7/2015,133,201500016,0,sea,7:10 PM,Ron Kulpa,Safeco Field,"56 degrees, partly cloudy","3 mph, Out to RF",0
17483,12,atl,4/7/2015,194,201500017,2,mia,7:11 PM,Laz Diaz,Marlins Park,"75 degrees, roof closed","0 mph, None",0
13906,6,bal,4/7/2015,202,201500018,5,tba,7:10 PM,Ed Hickox,Tropicana Field,"72 degrees, dome","0 mph, None",0
30222,5,col,4/7/2015,168,201500019,2,mil,7:10 PM,Dan Iassogna,Miller Park,"64 degrees, roof closed","0 mph, None",0
40356,7,sdn,4/7/2015,211,201500020,3,lan,7:40 PM,Mark Carlson,Dodger Stadium,"57 degrees, rain","1 mph, Varies",30
22626,6,sfn,4/7/2015,190,201500021,7,ari,6:40 PM,Eric Cooper,Chase Field,"79 degrees, partly cloudy","13 mph, Out to RF",0
15025,3,tex,4/7/2015,150,201500022,1,oak,7:08 PM,Doug Eddings,O.co Coliseum,"54 degrees, partly cloudy","16 mph, Out to RF",0
